CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,,,
IBBEA  - Perspectivas y desafíos,19/11/2025,,miércoles,11:00,13:00,0,1402,,,,32,IBBEA  - Perspectivas y desafíos
Reserva CYT Rectorado,26/11/2025,,Miércoles,9:00,17:00,0,1402,,Weinberg Duran,,21,Reserva WEINBERG-CYT-DURAN
Phonons 2025 ,03/12/2025,,Miércoles,9:00,18:00,0,1402,,Bragas,,13,Phonons 2025 (Bragas) 
LAGOS 2025 ,12/11/2025,,Miércoles,9:00,18:00,0,1403,,Bonomo,VAN A 1308,11,LAGOS 2025 (BONOMO)
Alimentaris Weinberg,3/12/2025,,Miércoles,9:00,17:00,0,1403,,,,20,Alimentaris Weinberg
MATEMAX 2025  (KRICK),17/12/2025,,Miércoles,9:00,18:00,0,1403,,,,21,MATEMAX 2025  (KRICK)
Química General/Qca.Gral.e Inorgánica I,,T2,Miércoles,9:00,12:30,1,2,QI,,,39,Química General e Inorgánica I/Química General
Estructura de la Materia 2,,,Miércoles,13:00,16:00,1,2,DF,Camjayi,,26,Estructura de la Materia 2
Análisis II/Matemática 3,,T3,Miércoles,17:00,22:00,1,2,DM,De Napoli/Ceresa,,24,Análisis II/Matemática 3
Análisis II/Matemática 3,,T2,Miércoles,9:00,14:00,1,3,DM,Maas/Guadalupe,,24,Análisis II/Matemática 3
Int.al Modelado Continuo,,,Miércoles,14:00,18:00,1,3,DF,Fainstein,,24,Introducción al Modelado Continuo/Ecuaciones de la Física Matemática
Optimización Aplicada a la Dist.Log.,,,Miércoles,18:30,21:30,1,3,DC,Negrotto,3º bimestre de 2025,36,Optimización Aplicada a la Distribución Logística/Aplicación de Técnicas de Optimización a la Distribución Logística 
Álgebra Lineal,12/11/2025,,Miércoles,14:00,18:00,1,4,,,,14,Álgebra Lineal
TDA/AEDIII,12/11/2025,,Miércoles,9:00,13:00,1,5,,,,,
Matemática I,,TB,Miércoles,17:00,22:00,1,5,DM,Armentano/Rodríguez Cartabia,,12,Matemática I
Servicio De Higiene Y Seguridad,5/11/2025,,Miércoles,10:00,11:00,1,6,,,,,
Complementos de Análisis Funcional,,,Miércoles,15:00,18:00,1,6,DC,Carando,,34,Complementos de Análisis Funcional/Tópicos de Complementos de Análisis Funcional
Matemática I ,12/11/2025,,Miércoles,10:00,14:00,1,7,,,,,
Grupos de Difeomorfismos,,,Miércoles,14:00,17:00,1,7,DM,Larotonda,,24,Grupos de Difeomorfismos/Difeomorfismos como Grupos de Lie/Frechet
Física Teórica 3 ,,,Miércoles,9:00,14:00,1,8,DF,Perez Nadal/Zanguinetti,,17,Física Teórica 3 
Mecánica y Termodinámica,,,Miércoles,17:00,21:00,1,8,DF,Balenzuela/Cornes,hasta 25/11/2025,24,Mecánica y Termodinámica
Matemática I ,,TA,Miércoles,9:00,14:00,1,9,DM,Rodríguez Cartabia/Kun,,13,Matemática I 
Física 4 ,,,Miércoles,17:00,22:00,1,9,DF,Tamborenea/Vigh,,9,Física 4 
Int.Computación e Información Cuántica,,,Miércoles,13:00,16:00,1,E24,DM,Mansilla,,38,Introducción a la Computación e Información Cuántica/Teoría de la Computación e Información Cuántica 
Métodos Efectivos de Res.Polinomios,,,Miércoles,16:00,19:00,1,E24,DM,Krick,,35,Métodos Efectivos de Resolución de Polinomios
Climatología (ATMO890003),,,Miércoles,8:00,13:00,1,Labo 1,DCAO,Robleto/Ayala,,25,Climatología (ATMO890003)
Drug discovery ,12/11/2025,,Miércoles,13:00,17:00,1,Labo 1,,Zaiat,,15,Drug discovery (Zaiat)
Infraestructura Tecnológica,NO12/11/2025-NO26/11/2025,,Miércoles,17:00,20:00,1,Labo 1,DC,Dunayevich,,27,"Infraestructura Tecnológica: Fundamentos, Gestión y Automatización / 4to.bimestre"
Est.Sistema Climático 1/Prob.y Est.,12/11/2025,,Miércoles,16:00,19:00,1,Labo 1,,,,35,Estadística para el Sistema Climático 1/Probabilidades y Estadística 
Reserva Pickholz/Saragueta,26/11/2025,,Miércoles,13:00,18:00,1,Labo 1,,,,26,Reserva Pickholz/Saragueta
Laboratorio de Pronóstico del Tiempo,,,Miércoles,8:00,13:00,1,Labo 2,DCAO,Mezher/Saucedo,3º bimestre de 2025,36,Pronóstico del Tiempo/Laboratorio de Pronóstico del Tiempo/Técnicas y metodologías para el pronóstico del tiempo – Módulo 1/Técnicas y metodologías para el pronóstico del tiempo – Módulo 2 
Introducción al Cambio Climatología,NO12/11/2025-NO26/11/2025,,Miércoles,16:00,19:00,1,Labo 2,DCAO,,,35,Procesamiento de Imágenes I 
Infraestructura Tecnológica,12/11/2025 - 26/11/2025,,Miércoles,17:00,20:00,1,Labo 2,DC,Dunayevich,,27,"Infraestructura Tecnológica: Fundamentos, Gestión y Automatización / 4to.bimestre"
Algoritmos II/Algoritmos y Est.de Datos,,,Miércoles,9:00,14:00,1,Magna,DC,Feuerstein/Tcach/Uchitel,,39,Algoritmos y Estructuras de Datos/Algoritmos y Estructuras de Datos II
Reserva Santi Sosa/Goodall,19/11/2025,,Miércoles,14:00,17:00,1,Magna,,,,,
Algoritmos II/Algoritmos y Est.de Datos,,,Miércoles,17:00,22:00,1,Magna,DC,Feuerstein/Tcach/Uchitel,,39,Algoritmos y Estructuras de Datos/Algoritmos y Estructuras de Datos II
Complejidad Computacional/LyC,,,Miércoles,17:00,22:00,2,2,DC,Abriola,,29,Complejidad Computacional/Lógica y Computabilidad/Teoría de la Complejidad Computacional
