CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,,,
Teoría de las Comunicaciones,,,Martes,19:00,22:00,0,1304,DC,Righetti,,28,Teoría de las Comunicaciones
Portugués II,,,Martes,10:00,13:00,0,1305,SA,Melián,,12,Portugués II
Ecología de Ambientes Marinos,,,Martes,14:00,16:00,0,1305,EGE,Capitanio,,29,Ecología de Ambientes Marinos
Semana de la Ciencia,11/11/2025,,Martes,10:00,13:00,0,1306,,,,,
Fund.de Lenguajes para Computación,18/11/2025-25/11/2025,,Martes,14:00,18:00,0,1306,,,,34,Fundamentos de Lenguajes para Computación Cuántica
Taller de Autodefensa Digital,11/11/2025,,Martes,18:00,22:00,0,1306,,,,,
Semana de la Ciencia,11/11/2025,,Martes,10:00,12:00,0,1307,,,,,
Temas de Nanofísica,,,Martes,17:00,20:00,0,1307,DF,Llois,,19,Temas de Nanofísica
LAGOS 2025 (BONOMO),11/11/2025,,Martes,9:00,13:00,0,1308,,,,19,LAGOS 2025 (BONOMO)
Reserva Sandra Guerrero Tesis,2/12/2025,,Martes,9:00,13:00,0,1308,,Guerrero Sandra,LOGICTECH GROUP,29,
Topología aplicada y análisis topológico,,,Martes,15:00,18:00,0,1308,DM,Minian,,40,Topología aplicada y análisis topológico de datos/La Topología de los Datos
Ingeniería Genética,,,Martes,18:00,21:00,0,1308,FBMC,Colman,,19,Ingeniería Genética/Ingeniería Genética y Biología de Sistemas Moleculares
Química General/Qca.Gral.e Inorgánica I,,T1,Martes,9:00,12:30,0,1309,QI,,,39,Química General e Inorgánica I/Química General
Química General/Qca.Gral.e Inorgánica I,,T3,Martes,13:30,17:00,0,1309,QI,,,39,Química General e Inorgánica I/Química General
Química General/Qca.Gral.e Inorgánica I,,T4,Martes,17:30,21:00,0,1309,QI,,,39,Química General e Inorgánica I/Química General
LAGOS 2025 ,11/11/2025,,Martes,9:00,18:00,0,1401,,Bonomo,,11,LAGOS 2025 (BONOMO)
Algoritmos II/Algoritmos y Est.de Datos,18/11/2025,,Martes,9:00,14:00,0,1401,,,,,
Reserva Pickholz/Saragueta,25/11/2025,,Martes,9:00,19:00,0,1401,,,,26,Reserva Pickholz/Saragueta
Phonons 2025 ,2/12/2025,,Martes,9:00,13:00,0,1401,,Bragas,,13,Phonons 2025 (Bragas) 
LAGOS 2025 ,11/11/2025,,Martes,10:00,13:00,0,1402,,Bonomo,,11,LAGOS 2025 (BONOMO)
LAGOS 2025 ,11/11/2025,,Martes,16:00,18:00,0,1402,,Bonomo,,11,LAGOS 2025 (BONOMO)
IBMC,18/11/2025,,Martes,9:00,12:00,0,1402,,,,,
Reserva WEINBERG-CYT-DURAN,25/11/2025,,Martes,9:00,17:00,0,1402,,,,26,Reserva WEINBERG-CYT-DURAN
Phonons 2025 (Bragas) ,2/12/2025,,Martes,9:00,13:00,0,1402,,,,22,Phonons 2025 (Bragas) 
