CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,,,,
LAGOS 2025 ,14/11/2025,,Viernes,9:00,15:00,0,1402,,,,11,LAGOS 2025 
Seminario de Inteligencia Artificial,28/11/2025,,Viernes,9:00,13:00,0,1402,,,,36,Seminario de Inteligencia Artificial para el sector productivo (CICD)
Phonons 2025 ,05/12/2025,,Viernes,9:00,18:00,0,1402,,bragas,,13,Phonons 2025 
Química General /Qca.Gral.Inorgánica I,NO28/11/2025-NO05/12/2025,T2,Viernes,9:00,12:30,0,1403,QI,,,38,Química General e Inorgánica I/Química General 
DF abierto,31/10/2025,,Viernes,13:00,14:00,0,1403,,,,10,DF abierto
LAGOS 2025 ,14/11/2025,,Viernes,9:00,15:00,0,1403,,,,11,LAGOS 2025 
reserva Charla de los viernes ,14/11/2025,,Viernes,,,0,1403,,,,,
Semana de los profesorados,14/11/2025,,Viernes,17:00,19:00,0,1403,,,,26,Semana de los profesorados
ROUNA,28/11/2025,,Viernes,9:00,13:00,0,1403,,,,5,ROUNA
RESERVA ERINA PETRERA ,05/12/2025,,viernes,9:00,19:00,0,1403,,(MOVER INORGANICA),,22,RESERVA ERINA PETRERA 
Workshop de cierre Becas AISAR (F.A.),12/12/2025,,viernes,12:00,18:00,0,1403,,,,,
Física 2 ,,TA,Viernes,9:00,14:00,1,2,DF,Arbo/Frank,,9,Física 2 
Álgebra I,,T4,Viernes,14:00,19:00,1,2,DM,Sirolli/Menconi,,9,Álgebra I
Paradigmas de Programación ,,,Viernes,9:00,14:00,1,3,DC,Barembaum,,27,Paradigmas de Programación 
Int.Inv.Operativa y Optimización,,,Viernes,17:00,21:00,1,3,IC,Durán/Faillace,,32,Introducción a la Investigación Operativa y Optimización/Investigación Operativa/Tópicos en Investigación Operativa 
Álgebra I,,T2,Viernes,9:00,14:00,1,4,DM,Massri,,9,Álgebra I
Física 1 ,Turno C,,Viernes,17:00,22:00,1,4,DF,Capuzzi/Alonso,,9,Física 1 
Mecánica y Termodinámica ,,,Viernes,9:00,13:00,1,5,DF,Ventura/Arcodia,,25,Mecánica y Termodinámica 
Estructura de la Materia 2 ,,,Viernes,13:00,16:00,1,5,DF,Camjayi,,27,Estructura de la Materia 2 
TL/LFAC,31/10/2025,,Viernes,17:00,22:00,1,5,,,,7,TL/LFAC
Cálculo Numérico,31/10/2025,,Viernes,10:00,14:00,1,6,,,,16,Cálculo Numérico
Análisis Matemático 1 ,,,Viernes,17:30,22:00,1,6,DM,Kuna/Acri,,22,Análisis Matemático 1 
Álgebras de Hopf: Anillo de Cohomología ,,,Viernes,11:30,13:00,1,7,DM,Solotar,,40,Álgebras de Hopf: Anillo de Cohomología 
Ecuaciones Diferenciales,31/10/2025,,Viernes,15:00,19:00,1,7,,,,24,Ecuaciones Diferenciales
