CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,,,
Escritura Creativa para Gente de Cien.,,,Lunes,10:30,12:00,0,1306,SA,Curatolo,,38,Escritura creativa para gente de ciencia 
Neurobiología del Aprendizaje y la Mem.,,,Lunes,14:00,17:00,0,1306,FBMC,Romano,,39,Neurobiología del Aprendizaje y la Memoria/Mecanismos de Memoria 
Procesamiento Digital de Geometría,,,Lunes,17:00,19:00,0,1306,DC,Taubin,,34,Procesamiento Digital de Geometría
Data Mining en Economía y Finanzas ,,,Lunes,19:00,22:00,0,1306,DATA,,,35,Data Mining en Economía y Finanzas (DATA)
Análisis Matemático de Sist.Soc.Comp.,,,Lunes,14:00,16:00,0,1307,DM,Saintier,,37,Análisis Matemático de Sistemas Sociales Complejos
"Economía, Conceptos y Métodos",,,Lunes,17:00,21:00,0,1307,,,,29,"Economía, Conceptos y Métodos"
LAGOS 2025 (BONOMO),10/11/2025,,Lunes,9:00,18:00,0,1308,,,HORARIO,19,LAGOS 2025 (BONOMO)
Ingeniería de Software II ,,,Lunes,17:00,22:00,0,1308,DC,Galeotti,,26,Ingeniería de Software II 
Pre Inc UBA - Agenda 2026,10/11/2025,,Lunes,9:00,15:00,0,1309,,Weinberg,,25,Rectorado Weinberg CyT rectorado Primbas
Biometría ,,,Lunes,18:30,21:30,0,1309,EGE,Cittadino,hasta 19/11,10,Biometría 
LAGOS 2025 ,10/11/2025,,Lunes,9:00,18:00,0,1401,,Bonomo,,11,LAGOS 2025 (BONOMO)
Reserva Prueba Quantum Foundations,17/11/2025,,Lunes,10:00,12:00,0,1401,,Guido Bellomo,,,
Phonons 2025 ,1/12/2025,,Lunes,9:00,17:30,0,1401,,Bragas,,13,Phonons 2025 (Bragas) 
LAGOS 2025 ,10/11/2025,,Lunes,10:00,13:00,0,1402,,Bonomo,,11,LAGOS 2025 (BONOMO)
LAGOS 2025 ,10/11/2025,,Lunes,16:00,18:00,0,1402,,Bonomo,,11,LAGOS 2025 (BONOMO)
Charla de Biotecnología,17/11/2025,,Lunes,9:00,12:00,0,1402,,,,,
Charla sobre programa de intercambio,17/11/2025,,Lunes,12:00,16:00,0,1402,,Institucionales,,36,Reserva Relaciones Institucionales/Charla sobre intercambio internacional para estudiantes de grado
DATAME,17/11/2025,,Lunes,16:00,19:00,0,1402,,,,,
Phonons 2025 ,1/12/2025,,Lunes,9:00,17:30,0,1402,,Bragas,,13,Phonons 2025 (Bragas) 
LAGOS 2025 ,10/11/2025,,Lunes,10:00,13:00,0,1403,,Bonomo,,11,LAGOS 2025 (BONOMO)
LAGOS 2025 ,10/11/2025,,Lunes,16:00,18:00,0,1403,,Bonomo,,11,LAGOS 2025 (BONOMO)
MATEMAX 2025  (KRICK),15/12/2025,,Lunes,9:00,18:00,0,1403,,,,21,MATEMAX 2025  (KRICK)
Física Teórica 3 ,,,Lunes,9:00,14:00,1,2,DF,Perez Nadal/Zanguinetti,,17,Física Teórica 3 
