CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,,,
Química Orgánica ,,TA2,Jueves,9:00,12:00,30/12/1899,21/04/1903,QO,Duran Fernando,,17,Química Orgánica 
Charla de Ingresantes Cs.Químicas,06/11/2025,,Jueves,13:00,17:00,30/12/1899,21/04/1903,,,,,
Semana de los profesorados ,13/11/2025,,Jueves,14:00,17:00,30/12/1899,21/04/1903,,,,27,Semana de los profesorados / 2/3
ROUNA,27/11/2025,,Jueves,14:00,17:00,0,1207,,,,5,ROUNA
Conceptos y Técnicas de Biotecnología I ,,,Jueves,17:00,20:00,0,1207,FBMC,D'alessio,,40,Conceptos y Técnicas de Biotecnología I 
Sinergias entre Verificación y Apr.Aut.,,,Jueves,9:30,12:30,0,1208,DC,Braberman,,39,Sinergias entre Verificación y Aprendizaje Automático / 2025
Análisis real-Medida y probabilidad,13/11/2025,,Jueves,13:00,17:00,0,1208,,,,,
ROUNA,27/11/2025,,Jueves,14:00,17:00,0,1208,,,,5,ROUNA
Estructura de la Materia 3,,,Jueves,17:00,20:00,0,1208,DF,Alcoba,,26,Estructura de la Materia 3
Redaccion Cientifica,13/11/2025,,Jueves,9:00,13:00,0,1209,,Crespo,,,
Reunión DCAO/Decano,20/11/2025,,Jueves,10:00,13:00,0,1209,,,,,
Fund.Biología Molecular y Fis. Cel.,,TT,Jueves,13:00,17:00,0,1209,FBMC,Nadra,,35,Fundamentos de Biología Molecular y Fisiología Celular
Física 3,,TB,Jueves,17:00,22:00,0,1209,DF,Chernomoretz/Marques,,8,Física 3
Genética ,,TM,Jueves,9:00,13:00,0,1301,EGE,Andrioli,,9,Genética 
Genética ,,TT,Jueves,13:00,17:00,0,1301,EGE,Andrioli,,9,Genética 
Genética ,,TN,Jueves,17:00,21:00,0,1301,EGE,Andrioli,,9,Genética 
Evolución ,,,Jueves,9:00,13:00,0,1302,EGE,Mahler,,10,Evolución 
Análisis Matemático de Sist.Soc. Comp.,,,Jueves,14:00,16:00,0,1302,DM,Saintier,,38,Análisis Matemático de Sistemas Sociales Complejos 
Evolución ,,,Jueves,17:00,21:00,0,1302,EGE,Carreira,,10,Evolución 
Aprendizaje Automático II 2025,,,Jueves,9:00,13:00,0,1303,DC,Brusco,,30,Aprendizaje Automático I / 2025+Introducción al Aprendizaje Automático I+Aprendizaje Automático II / 2025
IOO/IO	,13/11/2025,,Jueves,13:00,16:00,0,26/07/1903,,,,,
PLP,13/11/2025,,Jueves,13:00,16:00,0,1303,,,,,
Semana de los profesorados ,13/11/2025,,Jueves,10:00,13:00,30/12/1899,27/07/1903,,,,27,Semana de los profesorados 
Electricidad Atmosférica,,,Jueves,14:00,19:00,0,1304,DCAO,Dasso,,24,Electricidad Atmosférica/Elementos de Electromagnetismo en el Espacio y la Atmósfera
Data Mining en Economía y Finanzas ,,,Jueves,19:00,22:00,0,1304,DATA,,,35,Data Mining en Economía y Finanzas (DATA)
Historia de la Ciencia,,,Jueves,9:00,13:00,0,1305,CCPEMS,Bifano,,22,Historia de la Ciencia
Ecología de Ambientes Marinos,,,Jueves,14:00,16:00,0,28/07/1903,EGE,Capitanio,,29,Ecología de Ambientes Marinos
Complejidad Computacional,13/11/2025,,Jueves,16:00,18:00,0,28/07/1903,,,,,
Ingeniería Genética,,,Jueves,18:00,21:00,0,28/07/1903,FBMC,Colman,,19,Ingeniería Genética/Ingeniería Genética y Biología de Sistemas Moleculares
Semana de los profesorados ,13/11/2025,,Jueves,10:00,13:00,30/12/1899,29/07/1903,,,,27,Semana de los profesorados 
Semana de los profesorados ,13/11/2025,,Jueves,14:00,17:00,30/12/1899,29/07/1903,,,,27,Semana de los profesorados 
Estadística/Int.Est.y Ciencia de Datos,,,Jueves,17:00,19:00,0,29/07/1903,IC,Valdora,,38,Estadística/Introducción a la Estadística y Ciencia de Datos/Tópicos de Estadística
Semana de los profesorados ,13/11/2025,,Jueves,10:00,13:00,30/12/1899,30/07/1903,,,,27,Semana de los profesorados 
Semana de los profesorados ,13/11/2025,,Jueves,14:00,17:00,30/12/1899,30/07/1903,,,,27,Semana de los profesorados 
Workshop Mixed local and nonlocal operators,27/11/2025,,Jueves,9:00,17:00,30/12/1899,30/07/1903,,Balderrama (DM),,,
LAGOS 2025 (BONOMO),13/11/2025,,Jueves,9:00,18:00,30/12/1899,31/07/1903,,,,19,LAGOS 2025 (BONOMO)
Capacitación nodocente - Capeluto,27/11/2025,,Jueves,11:00,13:00,0,1308,,,,33,Capacitación nodocente - Capeluto
Reserva CECEN (F.A.),30/11/2025,,Jueves,15:00,18:00,0,1308,,,,,
Seguridad de la Información,,,Jueves,18:00,21:00,0,1308,DC,Baader,,27,Seguridad de la Información
Química General /Qca.Gral.eInorgánica I,,T1,Jueves,9:00,12:30,0,1309,QI,,,39,Química General e Inorgánica I/Química General 
Química General /Qca.Gral.eInorgánica I,,T3,Jueves,13:30,17:00,0,1309,QI,,,39,Química General e Inorgánica I/Química General 
Química General /Qca.Gral.eInorgánica I,,T4,Jueves,17:30,21:00,0,1309,QI,,,39,Química General e Inorgánica I/Química General 
"Geología, jornadas Extraterrestres",06/11/2025,,Jueves,9:00,17:00,0,1401,,,,34,"Geología, jornadas Extraterrestres"
Proyección Los años azules,06/11/2025,,Jueves,17:00,20:00,0,1401,,,,26,Proyección Los años azules
LAGOS 2025 ,13/11/2025,,Jueves,9:00,19:00,0,1401,,BONOMO,,11,LAGOS 2025 
RESERVA ALBERTO KORNBLIHTT,20/11/2025,,Jueves,9:00,17:00,0,1401,,,,26,RESERVA ALBERTO KORNBLIHTT
XIV Conference on Quantum Foundations,27/11/2025,,Jueves,8:30,18:00,0,1401,,BOSKY,,37,XIV Conference on Quantum Foundations BOSYK
Phonons 2025 ,04/12/2025,,Jueves,9:00,18:00,0,1401,,,,13,Phonons 2025 
Reserva Fita Borrell (DCAO),06/11/2025,,Jueves,8:00,20:00,0,1402,,,,27,Reserva Fita Borrell (DCAO)
LAGOS 2025 ,13/11/2025,,Jueves,9:00,18:00,0,1402,,BONOMO,,11,LAGOS 2025 
Acto de COLACIÓN DE GRADO ,20/11/2025,,Jueves,12:00,15:00,0,1402,,,,26,Acto de COLACIÓN DE GRADO (a confirmar)
Guiudo Palazzo y la Industria Plástica ,27/11/2025,,Jueves,8:30,18:30,0,1402,,Weinberg,,39,Guiudo Palazzo y la Industria Plástica (Weinberg)
Phonons 2025 ,04/12/2025,,Jueves,9:00,18:00,0,1402,,,,13,Phonons 2025 
Jornadas:Información del Ciclo Superior ,11/12/2025,,Jueves,12:00,20:00,0,1402,,,,40,
Introducción a la Zoología,NO 27/11/2025,,Jueves,9:00,12:00,0,1403,BBE,Genovese,,26,Introducción a la Zoología/Biodiversidad de Animales
Reserva Haroche,20/11/2025,,Jueves,12:00,17:00,0,1403,,,,15,ROUNA
ROUNA,27/11/2025,,Jueves,9:00,13:00,0,1403,,,,5,ROUNA
Sistemas Operativos,,,Jueves,17:00,22:00,0,1403,DC,Fernández Slezak,,19,Sistemas Operativos
Matemática 2,,,Jueves,9:00,14:00,1,2,DM,Giaccobbe,,12,Matemática 2
Matemática 2,,,Jueves,14:00,19:00,1,2,DM,Mansilla,,12,Matemática 2
Taller de Cálculo Avanzado,,,Jueves,9:00,14:00,1,3,DM,Sánchez Fernández,,26,Taller de Cálculo Avanzado
Sistemas Operativos,13/11/2025,,Jueves,14:00,16:00,1,3,,,,,
Arq.y Org.Computadores/Organización II,,T2,Jueves,17:00,22:00,1,3,DC,Cervetto/Furfaro,,38,Arquitectura y Organización de Computadores/Organización del Computador II
Análisis II/Matemática 3 ,13/11/2025,,Jueves,10:00,14:00,1,4,,,,,
Combinatoria ,,,Jueves,14:00,17:00,1,4,DM,Barmak,,13,Combinatoria 
Probabilidades y Estadística M,13/11/2025,,Jueves,9:00,12:00,1,5,,,,,
Probabilidades y Estadística C,13/11/2025,,Jueves,12:00,17:00,1,5,,,,,
Análisis Numérico,,,Jueves,12:00,14:00,1,6,DM,Ojea/Mendiluce,,17,Análisis Numérico/Tópicos de Análisis Numérico
Análisis I/Matemática 1,13/11/2025,,Jueves,15:00,19:00,1,6,,,,,
Análisis Avanzado,13/11/2025,,Jueves,9:00,13:00,1,7,,,,,
LYC,13/11/2025,,Jueves,13:00,15:00,1,7,,,,,
Laboratorio de Electrónica,,,Jueves,17:00,21:00,1,7,,Schmiegelow ,,26,Laboratorio de Electrónica
Mecánica Cláisca,,,Jueves,9:00,14:00,1,8,DF,Rodrigues Ferreira/Badia,,16,Mecánica Cláisca
Int. Modelado Continuo,,,Jueves,14:00,16:00,1,8,DF,Mindlin,,22,Introducción al Modelado Continuo/Ecuaciones de la Física Matemática
Física Teórica 2 ,,,Jueves,16:00,21:00,1,8,DF,Roncaglia/Paz/Ferro,,17,Física Teórica 2 
Sistemas Digitales/Organización I,,,Jueves,8:00,10:00,1,9,DC,Buemi,,33,Organización del Computador I/Sistemas Digitales
Sistemas Digitales/Organización I,,,Jueves,17:00,19:00,1,9,DC,Buemi,,33,Organización del Computador I/Sistemas Digitales
Grupos de Difeomorfismos,,,Jueves,13:00,16:00,1,E24,DM,Larotonda,,24,Grupos de Difeomorfismos/Difeomorfismos como Grupos de Lie/Frechet
Análisis Numérico,,,Jueves,9:00,12:00,1,Labo 1,DM,Ojea/Mendiluce,,17,Análisis Numérico/Tópicos de Análisis Numérico
Herramientas de visualización de datos,13/11/2025,,Jueves,14:00,18:00,1,Labo 2,IC,,,38,Herramientas de visualización de datos
Sistemas Digitales/Organización I,6/11/2025,,Jueves,8:00,13:00,1,Magna,,,,,
